record_id,sample,mode,o_taz,d_taz,restore_average_min,cut_average_min,delta_min
3033290202,"bus_subway_trolley","Bus / trolleybus",2640,2638,17.071,14.635,-2.435
3038950101,"bus_subway_trolley","Bus / trolleybus",5016,5057,73.1,73.1,0
3038950102,"bus_subway_trolley","Subway / El",5057,5013,38.467,38.467,0
3049580106,"bus_subway_trolley","Bus / trolleybus",1202,1011,24.669,29.583,4.915
3049580107,"bus_subway_trolley","Bus / trolleybus",1011,1202,20.052,20.717,0.665
3049580407,"bus_subway_trolley","Bus / trolleybus",1011,1202,20.052,20.717,0.665
3049580506,"bus_subway_trolley","Bus / trolleybus",1007,1011,16.515,18.89,2.375
3049580507,"bus_subway_trolley","Bus / trolleybus",1011,1202,20.052,20.717,0.665
3070050301,"bus_subway_trolley","Subway / El",2633,70,47.479,49.244,1.765
3070050302,"bus_subway_trolley","Subway / El",70,2633,43.919,46.615,2.696
3121680202,"bus_subway_trolley","Subway / El",1816,1816,20.894,19.906,-0.988
3127840106,"bus_subway_trolley","Subway / El",403,411,10.933,13.158,2.225
3127840109,"bus_subway_trolley","Subway / El",93,2615,36.796,35.733,-1.062
3127840110,"bus_subway_trolley","Bus / trolleybus",2615,12238,53.435,57.671,4.235
3127840111,"bus_subway_trolley","Bus / trolleybus",12238,2634,35.288,40.754,5.467
3127840112,"bus_subway_trolley","Bus / trolleybus",2634,2615,31.965,32.717,0.752
3127840113,"bus_subway_trolley","Subway / El",2615,69,39.3,37.867,-1.433
3127840114,"bus_subway_trolley","Subway / El",69,76,8.35,9.85,1.5
3127840116,"bus_subway_trolley","Subway / El",93,69,9.823,9.706,-0.117
3127840118,"bus_subway_trolley","Bus / trolleybus",2615,2634,36.979,38.625,1.646
3129140101,"bus_subway_trolley","Bus / trolleybus",3209,3209,17.144,19.271,2.127
3129140102,"bus_subway_trolley","Bus / trolleybus",3209,1034,45.167,43.233,-1.933
3129140104,"bus_subway_trolley","Bus / trolleybus",41,3209,46.556,55.517,8.96
3141440301,"bus_subway_trolley","Bus / trolleybus",1605,606,42.177,47.783,5.606
3141440302,"bus_subway_trolley","Bus / trolleybus",606,1605,40.617,37.108,-3.508
3141440402,"bus_subway_trolley","Bus / trolleybus",11835,1605,93.417,95.75,2.333
3144080101,"bus_subway_trolley","Subway / El",1432,51,34.948,36.902,1.954
3144080103,"bus_subway_trolley","Bus / trolleybus",74,107,12.738,12.731,-0.006
3144080104,"bus_subway_trolley","Bus / trolleybus",107,1432,22.2,21.45,-0.75
3144080105,"bus_subway_trolley","Subway / El",1432,411,25.95,27.9,1.95
3144080107,"bus_subway_trolley","Bus / trolleybus",411,1432,25.51,32.7,7.19
3158360102,"bus_subway_trolley","Subway / El",125,111,24.833,19.879,-4.954
3164640101,"bus_subway_trolley","Bus / trolleybus",421,91,36.502,36.842,0.34
3164640201,"bus_subway_trolley","Bus / trolleybus",421,133,33.398,32.933,-0.465
3164640202,"bus_subway_trolley","Bus / trolleybus",133,401,36.806,45.2,8.394
3168910102,"bus_subway_trolley","Bus / trolleybus",1420,1418,20.642,23.667,3.025
3168910103,"bus_subway_trolley","Bus / trolleybus",1418,1418,10.213,11.865,1.652
3168910104,"bus_subway_trolley","Subway / El",1418,2618,33.119,39.902,6.783
3168910105,"bus_subway_trolley","Bus / trolleybus",2618,12229,32.825,42.875,10.05
3168910109,"bus_subway_trolley","Subway / El",2622,1432,23.823,24.927,1.104
3168910112,"bus_subway_trolley","Bus / trolleybus",1432,1420,24.4,29.575,5.175
3200660201,"bus_subway_trolley","Subway / El",5031,117,69.914,74.85,4.936
3200660202,"bus_subway_trolley","Subway / El",117,5031,72.885,73.292,0.406
3215440103,"bus_subway_trolley","Subway / El",88,1036,17.767,19.017,1.25
3215440106,"bus_subway_trolley","Subway / El",1036,88,22.1,24.35,2.25
3219110102,"bus_subway_trolley","Bus / trolleybus",4,82,25.925,26.65,0.725
3219110106,"bus_subway_trolley","Bus / trolleybus",121,22,22.748,20.962,-1.785
3229950101,"bus_subway_trolley","Trolley / light rail",1021,58,29.567,34.879,5.312
3229950102,"bus_subway_trolley","Trolley / light rail",58,1021,32.087,35.017,2.929
3240320104,"bus_subway_trolley","Subway / El",44,1040,29.394,28.165,-1.229
3240320105,"bus_subway_trolley","Subway / El",1040,19,27.562,36.06,8.498
3249440105,"bus_subway_trolley","Trolley / light rail",4440,4453,29.825,29.075,-0.75
3249440106,"bus_subway_trolley","Subway / El",4453,1040,35.383,38.383,3
3250340201,"bus_subway_trolley","Bus / trolleybus",91,3020,70.517,69.179,-1.337
3250340202,"bus_subway_trolley","Bus / trolleybus",3020,91,63.6,63.1,-0.5
3250340203,"bus_subway_trolley","Bus / trolleybus",91,3020,82.671,82.671,0
3257740101,"bus_subway_trolley","Trolley / light rail",1212,102,37.181,38.252,1.071
3260280101,"bus_subway_trolley","Trolley / light rail",40,1028,32.025,26.506,-5.519
3260280102,"bus_subway_trolley","Trolley / light rail",1028,103,17.854,17.7,-0.154
3260280105,"bus_subway_trolley","Subway / El",40,123,35.123,29.692,-5.431
3260280106,"bus_subway_trolley","Subway / El",123,40,30.425,35.16,4.735
3260280204,"bus_subway_trolley","Subway / El",40,123,34.85,30.271,-4.579
3260280205,"bus_subway_trolley","Subway / El",123,40,30.425,35.16,4.735
3269980103,"bus_subway_trolley","Bus / trolleybus",10013,41,72.067,72.996,0.929
3269980302,"bus_subway_trolley","Subway / El",5009,4459,24.083,24.083,0
3269980306,"bus_subway_trolley","Subway / El",76,4459,36.221,39.521,3.3
3269980307,"bus_subway_trolley","Subway / El",4459,5009,32.017,29.517,-2.5
3271890101,"bus_subway_trolley","Bus / trolleybus",1213,1005,24.062,26.087,2.025
3271890102,"bus_subway_trolley","Bus / trolleybus",1005,1213,22.956,22.667,-0.29
3271890201,"bus_subway_trolley","Bus / trolleybus",1206,1432,44.177,42.779,-1.398
3271890202,"bus_subway_trolley","Bus / trolleybus",1432,1213,41.862,48.417,6.554
3279280103,"bus_subway_trolley","Trolley / light rail",84,1028,18.61,21.175,2.565
3279280104,"bus_subway_trolley","Trolley / light rail",1028,84,19.7,19.933,0.233
3279280105,"bus_subway_trolley","Trolley / light rail",84,1028,18.398,20.523,2.125
3279280106,"bus_subway_trolley","Trolley / light rail",1028,84,27,22.217,-4.783
3286990104,"bus_subway_trolley","Bus / trolleybus",3034,3029,24.825,29.233,4.408
3286990204,"bus_subway_trolley","Bus / trolleybus",3034,3031,26.875,32.267,5.392
3289040101,"bus_subway_trolley","Bus / trolleybus",2816,15624,53.571,60.725,7.154
3289040102,"bus_subway_trolley","Bus / trolleybus",15624,2816,48.702,54.202,5.5
3289040201,"bus_subway_trolley","Bus / trolleybus",2816,15624,53.571,60.725,7.154
3289040202,"bus_subway_trolley","Bus / trolleybus",15624,2816,48.702,54.202,5.5
3290420201,"bus_subway_trolley","Subway / El",10002,36,75.505,81.733,6.229
3298740201,"bus_subway_trolley","Bus / trolleybus",1431,74,38.258,42.154,3.896
3298740202,"bus_subway_trolley","Bus / trolleybus",74,2615,31.348,35.275,3.927
3298740203,"bus_subway_trolley","Bus / trolleybus",2615,74,36.133,37.383,1.25
3298740204,"bus_subway_trolley","Bus / trolleybus",74,1443,34.344,34.275,-0.069
3298740205,"bus_subway_trolley","Bus / trolleybus",1443,1431,21.158,21.873,0.715
3321170103,"bus_subway_trolley","Bus / trolleybus",10010,143,49.5,59.462,9.962
3321170104,"bus_subway_trolley","Bus / trolleybus",143,10008,50.481,56.237,5.756
3334970102,"bus_subway_trolley","Subway / El",8009,1040,106.383,108.124,1.74
3334970103,"bus_subway_trolley","Bus / trolleybus",1040,1024,27.515,27.221,-0.294
3334970105,"bus_subway_trolley","Bus / trolleybus",1030,1040,15.077,15.606,0.529
3369580108,"bus_subway_trolley","Bus / trolleybus",15,38,11.904,13.394,1.49
3369580109,"bus_subway_trolley","Bus / trolleybus",38,40,14.531,15.148,0.617
3369580111,"bus_subway_trolley","Subway / El",72,1026,15.267,16.669,1.402
3382110105,"bus_subway_trolley","Bus / trolleybus",4826,4459,43.796,47.292,3.496
3382110106,"bus_subway_trolley","Subway / El",4459,74,35.95,38.95,3
3382110107,"bus_subway_trolley","Subway / El",74,1428,22.696,21.617,-1.079
3382110112,"bus_subway_trolley","Bus / trolleybus",4459,4808,47.608,48.702,1.094
3383780102,"bus_subway_trolley","Bus / trolleybus",1030,82,10.254,10.108,-0.146
3422520101,"bus_subway_trolley","Bus / trolleybus",2634,1022,62.175,70.558,8.383
3422520102,"bus_subway_trolley","Bus / trolleybus",1022,1031,12.492,13.246,0.754
3422520104,"bus_subway_trolley","Trolley / light rail",1031,1026,13.25,15.815,2.565
3422520105,"bus_subway_trolley","Bus / trolleybus",1026,44,15.375,17.096,1.721
3422520106,"bus_subway_trolley","Bus / trolleybus",44,39,14.729,23.498,8.769
3422520107,"bus_subway_trolley","Bus / trolleybus",39,90,9.525,10.356,0.831
3422520108,"bus_subway_trolley","Bus / trolleybus",90,92,8.846,11.304,2.458
3422520109,"bus_subway_trolley","Subway / El",92,2615,36.46,35.858,-0.602
3422520110,"bus_subway_trolley","Bus / trolleybus",2615,2634,35.481,37.475,1.994
3429820201,"bus_subway_trolley","Bus / trolleybus",8009,91,108.3,109.321,1.021
3451130101,"bus_subway_trolley","Bus / trolleybus",3007,1419,43.402,48.283,4.881
3451130102,"bus_subway_trolley","Bus / trolleybus",1419,402,34.64,37.41,2.771
3469170201,"bus_subway_trolley","Bus / trolleybus",4458,4458,19.252,19.252,0
3469170202,"bus_subway_trolley","Subway / El",4458,4459,38.917,38.917,0
3469170203,"bus_subway_trolley","Bus / trolleybus",4459,4458,24.758,25.027,0.269
3471800101,"bus_subway_trolley","Bus / trolleybus",613,1012,50.625,51.625,1
3471800102,"bus_subway_trolley","Bus / trolleybus",1012,613,59.883,58.158,-1.725
3473810202,"bus_subway_trolley","Bus / trolleybus",90,11613,127,122.75,-4.25
3478450201,"bus_subway_trolley","Bus / trolleybus",840,12426,NA,NA,NA
3478450202,"bus_subway_trolley","Bus / trolleybus",12426,840,NA,NA,NA
3478450301,"bus_subway_trolley","Bus / trolleybus",840,1002,43.167,47.84,4.673
3478450302,"bus_subway_trolley","Bus / trolleybus",1002,840,47.529,48.473,0.944
3482100101,"bus_subway_trolley","Bus / trolleybus",825,134,37.458,40.083,2.625
3482100102,"bus_subway_trolley","Bus / trolleybus",134,825,41.917,43.965,2.048
3483550101,"bus_subway_trolley","Bus / trolleybus",819,6,22.929,23.146,0.217
3483550105,"bus_subway_trolley","Bus / trolleybus",56,819,23.192,26.671,3.479
3490040101,"bus_subway_trolley","Bus / trolleybus",1236,414,50.865,53.342,2.477
3490040103,"bus_subway_trolley","Bus / trolleybus",121,414,31.358,32.862,1.504
3490040104,"bus_subway_trolley","Bus / trolleybus",414,1236,55.45,56.517,1.067
3501890104,"bus_subway_trolley","Bus / trolleybus",4413,1030,37.717,39.717,2
3501890107,"bus_subway_trolley","Subway / El",1036,4459,36.894,40.296,3.402
3501890108,"bus_subway_trolley","Bus / trolleybus",4459,1025,36.344,41.55,5.206
3501890202,"bus_subway_trolley","Bus / trolleybus",4405,4206,36.733,38.908,2.175
3501890205,"bus_subway_trolley","Bus / trolleybus",4206,4405,29.483,34.046,4.562
3516490101,"bus_subway_trolley","Bus / trolleybus",836,17,19.271,19.679,0.408
3523090102,"bus_subway_trolley","Bus / trolleybus",4443,4459,20.413,23.333,2.921
3523090104,"bus_subway_trolley","Bus / trolleybus",91,76,10.54,7.615,-2.925
3523090105,"bus_subway_trolley","Bus / trolleybus",76,4459,35.927,36.773,0.846
3523090106,"bus_subway_trolley","Bus / trolleybus",4459,4445,21.508,22.392,0.883
3526370204,"bus_subway_trolley","Bus / trolleybus",10014,2407,37.054,34.577,-2.477
3546240301,"bus_subway_trolley","Bus / trolleybus",3011,3001,30.535,29.281,-1.254
3554480101,"bus_subway_trolley","Subway / El",828,1025,29.744,34.594,4.85
3554480102,"bus_subway_trolley","Subway / El",1025,828,39.748,42.871,3.123
3554480201,"bus_subway_trolley","Subway / El",828,40,30.246,33.977,3.731
3554480202,"bus_subway_trolley","Subway / El",40,828,32.123,30.983,-1.14
3568880103,"bus_subway_trolley","Bus / trolleybus",1014,90,31.49,34.525,3.035
3568880203,"bus_subway_trolley","Bus / trolleybus",1014,90,31.49,34.525,3.035
3574140206,"bus_subway_trolley","Subway / El",65,71,8.95,7.95,-1
3577750301,"bus_subway_trolley","Bus / trolleybus",49,91,17.008,20.337,3.329
3579640101,"bus_subway_trolley","Subway / El",11633,75,106.283,105.176,-1.107
3579640102,"bus_subway_trolley","Subway / El",75,11633,121.067,122.242,1.175
3588880101,"bus_subway_trolley","Subway / El",10001,1415,73.917,78.542,4.625
3588880102,"bus_subway_trolley","Subway / El",1415,1432,16.496,20.062,3.567
3588880103,"bus_subway_trolley","Subway / El",1432,1437,23.34,25.894,2.554
3588880201,"bus_subway_trolley","Bus / trolleybus",1437,10001,106.65,90.662,-15.988
3588880202,"bus_subway_trolley","Bus / trolleybus",10001,1415,73.917,78.542,4.625
3588880203,"bus_subway_trolley","Bus / trolleybus",1415,1432,16.496,20.062,3.567
3588880204,"bus_subway_trolley","Bus / trolleybus",1432,1437,23.692,26.069,2.377
3593950101,"bus_subway_trolley","Bus / trolleybus",62,1018,19.148,19.812,0.665
3593950105,"bus_subway_trolley","Bus / trolleybus",1031,62,19.835,24.073,4.238
3596790101,"bus_subway_trolley","Bus / trolleybus",807,803,13.825,16.875,3.05
3604970202,"bus_subway_trolley","Bus / trolleybus",134,87,22.133,18.762,-3.371
3604970203,"bus_subway_trolley","Bus / trolleybus",87,847,29.767,33.765,3.998
3605510104,"bus_subway_trolley","Bus / trolleybus",1202,1002,19.658,21.408,1.75
3605510201,"bus_subway_trolley","Bus / trolleybus",91,1002,39.992,36.104,-3.888
3605510204,"bus_subway_trolley","Bus / trolleybus",1002,91,35.667,34.667,-1
3607950102,"bus_subway_trolley","Bus / trolleybus",815,87,27.404,29.367,1.962
3633010101,"bus_subway_trolley","Subway / El",608,4459,57.669,58.865,1.196
3633010102,"bus_subway_trolley","Trolley / light rail",4459,4829,61.915,65.642,3.727
3633010103,"bus_subway_trolley","Trolley / light rail",4829,608,113.25,112.25,-1
3633010104,"bus_subway_trolley","Subway / El",608,608,8.502,10.417,1.915
3637010107,"bus_subway_trolley","Trolley / light rail",85,1030,16.477,19.727,3.25
3637010110,"bus_subway_trolley","Subway / El",1031,1040,22.825,26.044,3.219
3657130106,"bus_subway_trolley","Bus / trolleybus",10,11,15.552,14.585,-0.967
3657130207,"bus_subway_trolley","Bus / trolleybus",6,11,19.058,27.79,8.731
3661170103,"bus_subway_trolley","Subway / El",71,4459,30.852,32.888,2.035
3673860201,"bus_subway_trolley","Bus / trolleybus",607,65,34.6,39.117,4.517
3673860203,"bus_subway_trolley","Bus / trolleybus",1037,607,41.55,51.908,10.358
3678950301,"bus_subway_trolley","Subway / El",819,414,33.994,34.987,0.994
3679490104,"bus_subway_trolley","Bus / trolleybus",4461,88,41.85,43.35,1.5
3698530101,"bus_subway_trolley","Bus / trolleybus",2404,69,41.3,45.844,4.544
3698530102,"bus_subway_trolley","Bus / trolleybus",69,2404,39.996,40.633,0.637
3712900101,"bus_subway_trolley","Bus / trolleybus",4251,4251,20.99,22.292,1.302
3745500102,"bus_subway_trolley","Subway / El",1015,69,21.467,26.467,5
3769830102,"bus_subway_trolley","Subway / El",115,1025,30.6,31.642,1.042
3777160101,"bus_subway_trolley","Bus / trolleybus",132,61,25.627,28.106,2.479
3777160102,"bus_subway_trolley","Bus / trolleybus",61,15,22.587,24.129,1.542
3777160104,"bus_subway_trolley","Bus / trolleybus",6,132,26.302,28.95,2.648
3777160201,"bus_subway_trolley","Bus / trolleybus",132,71,16.017,20.142,4.125
3777160203,"bus_subway_trolley","Bus / trolleybus",108,132,13.796,14.371,0.575
3779200101,"bus_subway_trolley","Bus / trolleybus",1620,3014,29.708,31.992,2.283
3784140203,"bus_subway_trolley","Bus / trolleybus",74,10014,36.942,38.004,1.062
3811460204,"bus_subway_trolley","Subway / El",54,832,27.01,26.758,-0.252
3825960201,"bus_subway_trolley","Subway / El",5011,93,53.7,62.914,9.214
3825960202,"bus_subway_trolley","Subway / El",93,5011,53.406,58.275,4.869
3828300105,"bus_subway_trolley","Subway / El",1610,77,41.167,49.471,8.304
3828300106,"bus_subway_trolley","Bus / trolleybus",77,3025,62.875,69.131,6.256
3828300302,"bus_subway_trolley","Bus / trolleybus",3026,1429,57.546,61.173,3.627
3828300303,"bus_subway_trolley","Bus / trolleybus",1429,1610,44.919,47.631,2.712
3828300304,"bus_subway_trolley","Bus / trolleybus",1610,3025,34.16,33.392,-0.769
3840300101,"bus_subway_trolley","Bus / trolleybus",1201,1227,32.858,39.396,6.538
3840300102,"bus_subway_trolley","Bus / trolleybus",1227,1201,40.695,47.146,6.451
3854510101,"bus_subway_trolley","Bus / trolleybus",12217,2436,75.037,74.787,-0.25
3863520105,"bus_subway_trolley","Bus / trolleybus",62,43,12.606,14.238,1.631
3863520106,"bus_subway_trolley","Bus / trolleybus",43,62,11.338,12.5,1.162
3881100104,"bus_subway_trolley","Subway / El",1428,2603,24.317,23.969,-0.348
3891190103,"bus_subway_trolley","Bus / trolleybus",1040,1012,29.438,29.981,0.544
3891190104,"bus_subway_trolley","Bus / trolleybus",1012,1012,17.783,16.36,-1.423
3892120103,"bus_subway_trolley","Bus / trolleybus",90,51,13.796,13.656,-0.14
3892120104,"bus_subway_trolley","Subway / El",51,90,18.273,18.581,0.308
3893490101,"bus_subway_trolley","Subway / El",4455,1018,54.742,57.45,2.708
3893490102,"bus_subway_trolley","Subway / El",1018,4455,46.95,50.679,3.729
3900760203,"bus_subway_trolley","Bus / trolleybus",3019,91,52.35,55.1,2.75
3904970101,"bus_subway_trolley","Bus / trolleybus",2806,2806,11.042,10.825,-0.217
3904970102,"bus_subway_trolley","Bus / trolleybus",2806,3401,24.067,28.521,4.454
3904970103,"bus_subway_trolley","Bus / trolleybus",3401,2806,38.907,22.985,-15.921
3905510101,"bus_subway_trolley","Bus / trolleybus",3,95,26.462,28.083,1.621
3923520101,"bus_subway_trolley","Bus / trolleybus",813,7,30.34,36.369,6.029
3923520103,"bus_subway_trolley","Bus / trolleybus",7,813,30.885,33.215,2.329
3923520501,"bus_subway_trolley","Bus / trolleybus",813,7,27.223,31.069,3.846
3923520503,"bus_subway_trolley","Bus / trolleybus",7,813,31.254,33.163,1.908
3929400102,"bus_subway_trolley","Subway / El",1210,57,30.583,31.333,0.75
3929400104,"bus_subway_trolley","Subway / El",76,1210,32.146,32.896,0.75
3936810103,"bus_subway_trolley","Subway / El",69,1040,17.75,19.25,1.5
3941850105,"bus_subway_trolley","Bus / trolleybus",12411,15618,84.8,NA,NA
3949980102,"bus_subway_trolley","Bus / trolleybus",15,42,15.606,17.233,1.627
3966890102,"bus_subway_trolley","Bus / trolleybus",624,1203,66.696,78,11.304
3966890103,"bus_subway_trolley","Bus / trolleybus",1203,624,72.342,74.667,2.325
3966890104,"bus_subway_trolley","Bus / trolleybus",624,1203,70.36,75.888,5.527
3998300101,"bus_subway_trolley","Bus / trolleybus",97,76,13.975,16.448,2.473
3998560101,"bus_subway_trolley","Bus / trolleybus",30,3209,48.358,66.983,18.625
4004890307,"bus_subway_trolley","Subway / El",4451,4459,22.294,24.837,2.544
4004890308,"bus_subway_trolley","Bus / trolleybus",4459,4451,23.171,22.983,-0.188
4005130103,"bus_subway_trolley","Bus / trolleybus",404,814,47.104,45.619,-1.485
4005130104,"bus_subway_trolley","Bus / trolleybus",814,404,53.383,53.49,0.106
4013690103,"bus_subway_trolley","Bus / trolleybus",1040,1040,23.665,24.227,0.562
4013690106,"bus_subway_trolley","Subway / El",1036,1040,20.885,20.135,-0.75
4032620102,"bus_subway_trolley","Subway / El",819,411,33.231,34.333,1.102
4032620105,"bus_subway_trolley","Subway / El",411,819,34.021,35.896,1.875
4032620202,"bus_subway_trolley","Subway / El",819,76,22.402,23.417,1.015
4032620203,"bus_subway_trolley","Subway / El",76,65,12.681,13.067,0.385
4032620206,"bus_subway_trolley","Subway / El",65,76,11.1,10.85,-0.25
4032620207,"bus_subway_trolley","Subway / El",76,819,25.55,27.894,2.344
4046210101,"bus_subway_trolley","Bus / trolleybus",2801,2807,20.99,24.921,3.931
4046210401,"bus_subway_trolley","Bus / trolleybus",2801,135,57.706,57.017,-0.69
4048490102,"bus_subway_trolley","Bus / trolleybus",50,1005,31.892,36.688,4.796
4048490103,"bus_subway_trolley","Bus / trolleybus",1005,31,33.748,39.34,5.592
4048490104,"bus_subway_trolley","Bus / trolleybus",31,15,27.067,24.779,-2.287
4048490105,"bus_subway_trolley","Bus / trolleybus",15,30,14.8,19.14,4.34
4048490204,"bus_subway_trolley","Bus / trolleybus",30,41,18.396,25.831,7.435
4056480103,"bus_subway_trolley","Bus / trolleybus",40,50,29.975,21.267,-8.708
4061050102,"bus_subway_trolley","Subway / El",414,1415,20.671,21.981,1.31
4061050103,"bus_subway_trolley","Subway / El",1415,414,25.288,28.233,2.946
4063470105,"bus_subway_trolley","Bus / trolleybus",48,1025,13.983,14.692,0.708
4071630201,"bus_subway_trolley","Bus / trolleybus",836,846,13.369,14.467,1.098
4071630202,"bus_subway_trolley","Bus / trolleybus",846,836,19.5,20.788,1.288
4071860201,"bus_subway_trolley","Bus / trolleybus",2639,846,59.315,58.61,-0.704
