record_id,sample,HH_ID,PERSON_NUM,mode,o_taz,d_taz,restore_average_min,cut_average_min,delta_min,TOUR_TYPE,TOUR_NUM,TRIP_NUM,O_LOC_TYPE,D_LOC_TYPE,ACTIV1,PARTY,MODE,MODE_AGG,TripFactor,CompositeWeight,P_WEIGHT,P_TOT_TRIPS,GEND,AGECAT,RACE,EDUCA,LIC,EMPLY,WK_STAT,JOBS,HOURS,OCCUP,WK_MODE,TCOMM,PARK_SUB,TRAN_SUB,STUDE,T_TRIP,TAP,HH_WEIGHT,H_COUNTY,H_TAZ,A_TYPE,HH_SIZE,HH_WORK,TOT_VEH,OP_VEH,TOT_BIKE,CAR_SHARE,RES_TYPE,INCOME,female,age_cat,age_65plus,race_cat,college_deg,has_license,employed,student,transit_trips_wk,transit_subsidy,income_k,low_income,hh_size,hh_workers,hh_vehicles,area_type,work_tour,home_based,zero_veh_hh,veh_per_adult
1147360206,"bus_subway_trolley",114736,2,"Subway / El",9,1814,51.494,46.004,-5.49,2,2,6,1,4,1,NA,21,5,1.12,155.7425479,139.0558463,7,1,8,988,5,1,1,NA,1,35,13,6,0,1,1,3,0,NA,143.4174285,42101,9,3,2,2,1,1,1,2,2,6,0,8,0,NA,1,1,1,0,0,1,87.5,0,2,2,1,"urban",0,1,0,0.5
1148770102,"bus_subway_trolley",114877,1,"Subway / El",846,1037,40.15,43.079,2.929,1,1,2,2,4,5,NA,21,5,1.17,102.0431014,87.21632598,3,1,9,988,6,1,1,NA,1,37,41,6,0,2,2,3,2,NA,157.1925661,42101,844,3,1,1,0,0,1,1,2,5,0,9,0,NA,1,1,1,0,2,0,62.5,0,1,1,0,"urban",1,1,1,0
1149340203,"bus_subway_trolley",114934,2,"Trolley / light rail",1020,74,12.596,13.627,1.031,1,1,3,4,4,19,NA,23,5,1.17,133.0612283,113.7275455,5,1,6,1,5,1,2,6,NA,NA,NA,NA,NA,NA,NA,1,4,NA,213.7295021,42101,826,3,2,0,0,0,2,1,2,5,0,6,0,"white",1,1,0,1,4,NA,62.5,0,2,0,0,"urban",1,1,1,0
1149340204,"bus_subway_trolley",114934,2,"Subway / El",74,834,17.108,17.483,0.375,1,1,4,4,4,19,NA,21,5,1.17,133.0612283,113.7275455,5,1,6,1,5,1,2,6,NA,NA,NA,NA,NA,NA,NA,1,4,NA,213.7295021,42101,826,3,2,0,0,0,2,1,2,5,0,6,0,"white",1,1,0,1,4,NA,62.5,0,2,0,0,"urban",1,1,1,0
1150140102,"bus_subway_trolley",115014,1,"Subway / El",834,59,22.717,21.629,-1.088,1,1,2,4,4,19,NA,21,5,1.12,108.5508336,96.92038715,9,2,6,1,6,1,1,NA,1,40,23,4,0,2,1,3,24,NA,191.4884327,42101,834,3,2,1,0,0,1,1,2,6,1,6,0,"white",1,1,1,0,24,1,87.5,0,2,1,0,"urban",1,1,1,0
1150140109,"bus_subway_trolley",115014,1,"Subway / El",41,834,20.756,17.483,-3.273,1,1,9,4,1,19,NA,21,5,1.12,108.5508336,96.92038715,9,2,6,1,6,1,1,NA,1,40,23,4,0,2,1,3,24,NA,191.4884327,42101,834,3,2,1,0,0,1,1,2,6,1,6,0,"white",1,1,1,0,24,1,87.5,0,2,1,0,"urban",1,1,1,0
1150140205,"bus_subway_trolley",115014,2,"Bus / trolleybus",834,5,25.1,23.85,-1.25,2,2,5,1,4,1,NA,14,5,1.12,112.436437,100.3896759,6,1,6,1,6,2,2,2,NA,NA,NA,NA,NA,NA,NA,3,8,NA,191.4884327,42101,834,3,2,1,0,0,1,1,2,6,0,6,0,"white",1,0,0,0,8,NA,87.5,0,2,1,0,"urban",0,1,1,0
1150140206,"bus_subway_trolley",115014,2,"Bus / trolleybus",5,834,28.19,24.913,-3.277,2,2,6,4,1,13,NA,14,5,1.12,112.436437,100.3896759,6,1,6,1,6,2,2,2,NA,NA,NA,NA,NA,NA,NA,3,8,NA,191.4884327,42101,834,3,2,1,0,0,1,1,2,6,0,6,0,"white",1,0,0,0,8,NA,87.5,0,2,1,0,"urban",0,1,1,0
1152880202,"bus_subway_trolley",115288,2,"Bus / trolleybus",819,74,41.336,45.088,3.752,3,1,2,4,4,19,NA,14,5,1.17,477.8006584,408.3766311,10,1,9,988,98,2,1,NA,1,40,15,4,0,8,2,3,30,NA,202.8848881,42101,819,3,2,1,0,0,1,2,2,4,0,9,0,NA,NA,0,1,0,30,0,42.5,0,2,1,0,"urban",0,0,1,0
1152880203,"bus_subway_trolley",115288,2,"Bus / trolleybus",74,1034,15.86,15.86,0,3,1,3,4,4,19,NA,14,5,1.17,477.8006584,408.3766311,10,1,9,988,98,2,1,NA,1,40,15,4,0,8,2,3,30,NA,202.8848881,42101,819,3,2,1,0,0,1,2,2,4,0,9,0,NA,NA,0,1,0,30,0,42.5,0,2,1,0,"urban",0,0,1,0
