record_id,person_id,journey_id,trip_num,mode,rr_role,depart_time,depart_min_of_day,depart_lon,depart_lat,dest_lon,dest_lat,o_county,d_county,peak_period,is_peak,survey_travtime,model_travtime,tt_cut_mean_min,tt_cut_sd_min,tt_cut_n_ok,tt_restore_mean_min,tt_restore_sd_min,tt_restore_n_ok
1094870204,10948702,988,4,22,rail_leg,17:30,1050,-75.2885123046458,40.0829515339353,-75.2582617306911,39.9505465618713,42091,42045,pm_peak,TRUE,90,73.621258,103.4875,12.7327435353308,8,99.1604166666667,10.8678787576268,8
1114230101,11142301,1182,1,22,rail_leg,9:30,570,-75.3793856687375,39.8793852847628,-75.1466622121185,39.9478355374067,42045,42101,off_peak,FALSE,90,98.431321,99.05,10.352133435513,7,99.0595238095238,9.08082461351257,7
1114230103,11142301,1184,3,22,rail_leg,18:30,1110,-75.1611907875754,39.9477574019743,-75.3793856687375,39.8793852847628,42101,42045,pm_peak,TRUE,90,79.628151,,,0,,,0
1115690201,11156902,1207,1,22,rail_leg,7:45,465,-75.1021904955652,40.1763831579957,-75.1896061471959,39.9540702600328,42091,42101,am_peak,TRUE,70,58.011613,91.6,17.3060682998768,8,75.725,10.9144399764715,8
1115690202,11156902,1208,2,22,rail_leg,16:45,1005,-75.1896061471959,39.9540702600328,-75.1612826317197,39.9532127364358,42101,42101,pm_peak,TRUE,35,12.711605,11.7916666666667,0.916125381312904,8,11.5416666666667,1.18773493916542,8
1115690203,11156902,1209,3,22,rail_leg,20:15,1215,-75.1612826317197,39.9532127364358,-75.1021904955652,40.1763831579957,42101,42091,off_peak,FALSE,47,46.383333,83.9041666666667,16.050161325402,8,79.1666666666667,17.4622040827775,8
1128800201,11288002,1366,1,22,rail_leg,6:30,390,-75.3409244198258,40.1179073455375,-75.1505658415867,39.9464361327538,42091,42101,am_peak,TRUE,75,63.852249,78.6895833333333,8.57139918149723,8,73.0854166666667,6.90131939018887,8
1128800202,11288002,1367,2,22,rail_leg,16:45,1005,-75.1505658415867,39.9464361327538,-75.3409244198258,40.1179073455375,42101,42091,pm_peak,TRUE,90,65.367516,82.4020833333333,6.68665122191161,8,79.9833333333333,7.11428252693242,8
3000980104,30009801,2619,4,22,rail_leg,14:55,895,-75.1392788470332,40.0429484652339,-75.1588750233838,39.9528401835985,42101,42101,off_peak,FALSE,14,24.926883,31.3708333333333,4.07671231917747,8,32.2583333333333,4.80423919946897,8
3000980105,30009801,2619,5,22,rail_leg,15:28,928,-75.1588750233838,39.9528401835985,-75.3548774564537,39.9036369389223,42101,42045,off_peak,FALSE,42,36.921641,68.7,10.1734949746879,8,58.95,8.5104977192037,8
