record_id,depart_time,depart_min_of_day,depart_lon,depart_lat,dest_lon,dest_lat,peak_period,is_peak,survey_travtime,model_travtime,scenario,service_date,tt_1_min,tt_1_offset_min,tt_2_min,tt_2_offset_min,tt_3_min,tt_3_offset_min,tt_4_min,tt_4_offset_min,tt_5_min,tt_5_offset_min,tt_6_min,tt_6_offset_min,tt_7_min,tt_7_offset_min,tt_8_min,tt_8_offset_min,n_ok,tt_mean_min,tt_sd_min
1149340204,19:00,1140,-75.1638872349499,39.9525548857932,-75.1655746637264,39.9307064691021,off_peak,FALSE,8,12.638667,restore,20251015,21.2333333333333,-29.75,12.7333333333333,-21.25,14.2333333333333,-12.75,16.7333333333333,-4.25,18.2333333333333,4.25,19.7333333333333,12.75,21.2333333333333,21.25,12.7333333333333,29.75,8,17.1083333333333,3.56320481749626
1150140102,6:53,413,-75.1655746637264,39.9307064691021,-75.1649773922386,39.9502186753736,am_peak,TRUE,7,11.779301,restore,20251015,23.65,-29.75,20.5666666666667,-21.25,19.0666666666667,-12.75,28.5666666666667,-4.25,20.0666666666667,4.25,27.5666666666667,12.75,19.0666666666667,21.25,23.1833333333333,29.75,8,22.7166666666667,3.72489479983546
1150140109,17:46,1066,-75.1634808483634,39.9480403151119,-75.1655746637264,39.9307064691021,pm_peak,TRUE,9,12.628112,restore,20251015,14.2333333333333,-29.75,19.7333333333333,-21.25,24.6166666666667,-12.75,23.7333333333333,-4.25,15.2333333333333,4.25,24.5333333333333,12.75,19.2333333333333,21.25,24.7333333333333,29.75,8,20.75625,4.31386595574399
1150140205,18:13,1093,-75.1655746637264,39.9307064691021,-75.1593108938158,39.9400078893569,pm_peak,TRUE,17,11.918324,restore,20251015,26.85,-29.75,19.15,-21.25,25.65,-12.75,17.15,-4.25,23.65,4.25,30.15,12.75,33.35,21.25,24.85,29.75,8,25.1,5.31440092041024
1150140206,21:15,1275,-75.1593108938158,39.9400078893569,-75.1655746637264,39.9307064691021,off_peak,FALSE,15,11.926381,restore,20251015,32.1833333333333,-29.75,23.6833333333333,-21.25,30.1833333333333,-12.75,21.6833333333333,-4.25,32.1833333333333,4.25,23.6833333333333,12.75,15.1833333333333,21.25,46.7333333333333,29.75,8,28.1895833333333,9.50076829600037
1152880202,4:03,243,-75.1662120144978,39.9238115855567,-75.1638872349499,39.9525548857932,off_peak,FALSE,15,14.632857,restore,20251015,42.35,-29.75,33.85,-21.25,25.35,-12.75,55.5833333333333,-4.25,47.0833333333333,4.25,38.5833333333333,12.75,,21.25,46.55,29.75,7,41.3357142857143,9.86071248914858
1152880203,4:55,295,-75.1638872349499,39.9525548857932,-75.1847348588828,39.9565152107181,off_peak,FALSE,15,10.233063,restore,20251015,23.6333333333333,-29.75,15.1333333333333,-21.25,17.6333333333333,-12.75,10.8833333333333,-4.25,12.0833333333333,4.25,14.5833333333333,12.75,14.0833333333333,21.25,18.85,29.75,8,15.8604166666667,4.08576640340274
1152910101,7:00,420,-75.1662120144978,39.9238115855567,-75.1583275844786,39.9602029183105,am_peak,TRUE,20,23.645837,restore,20251015,28.8166666666667,-29.75,28.55,-21.25,28.1333333333333,-12.75,29.55,-4.25,30.05,4.25,28.55,12.75,33.8166666666667,21.25,32.55,29.75,8,30.0020833333333,2.0827225295081
1152910102,8:00,480,-75.1583275844786,39.9602029183105,-75.1461838934269,39.9589037110814,am_peak,TRUE,25,13.491022,restore,20251015,23.1166666666667,-29.75,14.6166666666667,-21.25,20.0833333333333,-12.75,24.2,-4.25,22.7833333333333,4.25,22.2,12.75,29.4,21.25,20.9,29.75,8,22.1625,4.15222019402663
1152910104,16:15,975,-75.1461838934269,39.9589037110814,-75.1583275844786,39.9602029183105,pm_peak,TRUE,15,13.533333,restore,20251015,31.4166666666667,-29.75,25.1666666666667,-21.25,18.05,-12.75,26.1666666666667,-4.25,27.6666666666667,4.25,29.1666666666667,12.75,24.05,21.25,22.1666666666667,29.75,8,25.48125,4.18184319409516
