record_id,depart_time,depart_min_of_day,depart_lon,depart_lat,dest_lon,dest_lat,peak_period,is_peak,survey_travtime,model_travtime,tt_cut_min,tt_restore_min,tt_cut_mean_min,tt_cut_sd_min,tt_cut_n_ok,tt_restore_mean_min,tt_restore_sd_min,tt_restore_n_ok
1079970102,15:40,940,-75.335420259149,40.0698383522223,-75.2626735411038,39.9640057100153,off_peak,FALSE,,34.879532,73.6166666666667,73.6166666666667,69.8416666666667,4.56709243757265,8,69.0666666666667,4.45998078150888,8
1079970104,16:40,1000,-75.1470807570054,39.9513767444736,-75.2182588102061,39.950471058218,pm_peak,TRUE,20,26.610914,29.1833333333333,35.65,35.5770833333333,4.81451952060491,8,31.7770833333333,4.24328542878731,8
1094120102,8:13,493,-75.7773113001476,39.9924677984963,-75.1588750233838,39.9528401835985,am_peak,TRUE,77,90.72718,,,,,0,,,0
1096380201,8:00,480,-75.2862320050127,39.9472873841357,-75.1638872349499,39.9525548857932,am_peak,TRUE,60,36.937359,48.95,39.95,42.95,3.26233921333407,8,40.7,2.69920623252731,8
1096380202,17:00,1020,-75.1638872349499,39.9525548857932,-75.2862320050127,39.9472873841357,pm_peak,TRUE,60,35.700992,37.05,44.05,47.3,6.87646088374785,8,42.175,3.66206421103103,8
1109990102,15:30,930,-75.3987233993895,39.9261429188378,-75.3283478818808,39.9804431108819,off_peak,FALSE,19,83.86387,,,,,0,,,0
1111180102,7:24,444,-75.3286199019552,40.0309191057453,-75.1834073455283,39.9599979498596,am_peak,TRUE,21,23.235999,,81.3833333333333,82.3833333333334,13.8446740662249,6,82.7047619047619,13.9804284967372,7
1111180103,16:15,975,-75.1834073455283,39.9599979498596,-75.3335267105402,40.0257716741197,pm_peak,TRUE,25,35.109764,58.6166666666667,58.6166666666667,64.2416666666667,7.16015761997298,8,60.4916666666667,4.37321392113397,8
1122920103,9:24,564,-75.1176717363826,40.1313732890668,-75.2823672331362,40.2208246075088,am_peak,TRUE,31,57.216768,117.116666666667,117.116666666667,127.366666666667,13.8624192212855,4,127.366666666667,13.8624192212855,4
1143540102,10:55,655,-75.1741319574651,39.9575333855516,-75.1608290378846,39.9512565309348,off_peak,FALSE,35,14.506672,24.35,14.8333333333333,16.7145833333333,4.55054015196033,8,14.3208333333333,4.09128719993854,8
1143540103,11:45,705,-75.1608290378846,39.9512565309348,-75.1541388337345,39.9522458625874,off_peak,FALSE,8,7.866091,10.35,9.35,8.35,2.8908723349783,8,8.6,1.73205080756888,8
1143540105,13:20,800,-75.1528356388386,39.9549263716921,-75.1741319574651,39.9575333855516,off_peak,FALSE,30,20.54996,20.45,23.4166666666667,25.9833333333333,4.35587543367011,8,21.3083333333333,4.18858994343988,8
