"record_id","person_id","journey_id","trip_num","mode","rr_role","depart_time","depart_min_of_day","depart_lon","depart_lat","dest_lon","dest_lat","o_county","d_county","peak_period","is_peak","survey_travtime","model_travtime"
3418210201,34182102,10014,1,22,"rail_leg","7:30",450,-75.3495216111157,39.8940079236362,-75.1545851492175,39.9813757258968,42045,42101,"am_peak",TRUE,65,61.294052
3418210202,34182102,10015,2,22,"rail_leg","16:30",990,-75.1545851492175,39.9813757258968,-75.3495216111157,39.8940079236362,42101,42045,"pm_peak",TRUE,40,59.874693
3431120102,34311201,10223,2,22,"rail_leg","8:20",500,-74.9063874745106,40.0959040743494,-75.1659426772114,39.9531940428398,42017,42101,"am_peak",TRUE,40,42.897435
3431120103,34311201,10223,3,22,"rail_leg","17:11",1031,-75.1659426772114,39.9531940428398,-74.9063874745106,40.0959040743494,42101,42017,"pm_peak",TRUE,39,39.253532
3444160104,34441601,10410,4,22,"rail_leg","10:57",657,-75.2087795541006,40.0727929276456,-75.1834073455283,39.9599979498596,42101,42101,"off_peak",FALSE,25,36.258583
3444160108,34441601,10413,8,22,"rail_leg","14:45",885,-75.1834073455283,39.9599979498596,-75.2087795541006,40.0727929276456,42101,42101,"off_peak",FALSE,32,36.117323
3485620201,34856202,11220,1,22,"rail_leg","8:00",480,-75.2087795541006,40.0727929276456,-75.1659426772114,39.9531940428398,42101,42101,"am_peak",TRUE,50,39.893614
3485620202,34856202,11221,2,22,"rail_leg","18:00",1080,-75.1659426772114,39.9531940428398,-75.2087795541006,40.0727929276456,42101,42101,"pm_peak",TRUE,50,37.770337
3494880102,34948801,11338,2,22,"rail_leg","4:37",277,-75.1297691436794,40.0713922682092,-75.1608290378846,39.9512565309348,42091,42101,"off_peak",FALSE,23,26.21249
3494880104,34948801,11339,4,22,"rail_leg","15:40",940,-75.1541388337345,39.9522458625874,-75.1297691436794,40.0713922682092,42101,42091,"off_peak",FALSE,20,25.106486
3501660102,35016601,11431,2,22,"rail_leg","14:35",875,-75.1648345113326,39.9541020155151,-75.1655206281913,39.9477143701067,42101,42101,"off_peak",FALSE,100,7.159904
3501660103,35016601,11432,3,22,"rail_leg","20:30",1230,-75.1655206281913,39.9477143701067,-75.1648345113326,39.9541020155151,42101,42101,"off_peak",FALSE,120,7.652922
3521040203,35210402,11693,3,22,"rail_leg","8:24",504,-75.1325211942729,40.0941668713503,-75.1648345113326,39.9541020155151,42091,42101,"am_peak",TRUE,28,34.780763
3521040208,35210402,11696,8,22,"rail_leg","17:51",1071,-75.1648345113326,39.9541020155151,-75.1325211942729,40.0941668713503,42101,42091,"pm_peak",TRUE,29,33.845095
3531220101,35312201,11880,1,22,"rail_leg","6:55",415,-75.4630660144789,40.0474160739304,-75.1779217463161,39.9533873770951,42029,42101,"am_peak",TRUE,55,45.65507
