record_id,depart_time,depart_min_of_day,depart_lon,depart_lat,dest_lon,dest_lat,peak_period,is_peak,survey_travtime,model_travtime,scenario,service_date,gtfs_status,gtfs_total_min,gtfs_access_min,gtfs_wait_min,gtfs_ride_min,gtfs_egress_min,gtfs_transfers,access_stop_id,egress_stop_id
1079970102,15:40,940,-75.335420259149,40.0698383522223,-75.2626735411038,39.9640057100153,off_peak,FALSE,,34.879532,restore,20251015,ok,73.6166666666667,9.7,11.3,50,2.61666666666667,2,1895,18639
1079970104,16:40,1000,-75.1470807570054,39.9513767444736,-75.2182588102061,39.950471058218,pm_peak,TRUE,20,26.610914,restore,20251015,ok,35.65,1.76666666666667,6.06666666666667,21.65,6.16666666666667,3,10311,22190
1094120102,8:13,493,-75.7773113001476,39.9924677984963,-75.1588750233838,39.9528401835985,am_peak,TRUE,77,90.72718,restore,20251015,unreachable,,,,,,,,
1096380201,8:00,480,-75.2862320050127,39.9472873841357,-75.1638872349499,39.9525548857932,am_peak,TRUE,60,36.937359,restore,20251015,ok,39.95,4.5,5.16666666666667,28.3333333333333,1.95,1,18629,1392
1096380202,17:00,1020,-75.1638872349499,39.9525548857932,-75.2862320050127,39.9472873841357,pm_peak,TRUE,60,35.700992,restore,20251015,ok,44.05,1.85,0.15,37.2333333333333,4.81666666666667,3,283,18600
1109990102,15:30,930,-75.3987233993895,39.9261429188378,-75.3283478818808,39.9804431108819,off_peak,FALSE,19,83.86387,restore,20251015,no_origin_stop,,,,,,,,
1111180102,7:24,444,-75.3286199019552,40.0309191057453,-75.1834073455283,39.9599979498596,am_peak,TRUE,21,23.235999,restore,20251015,ok,81.3833333333333,6.26666666666667,20.6166666666667,45.1166666666667,9.38333333333333,1,19430,21532
1111180103,16:15,975,-75.1834073455283,39.9599979498596,-75.3335267105402,40.0257716741197,pm_peak,TRUE,25,35.109764,restore,20251015,ok,58.6166666666667,7.6,1.4,44,5.61666666666667,2,28325,1927
1122920103,9:24,564,-75.1176717363826,40.1313732890668,-75.2823672331362,40.2208246075088,am_peak,TRUE,31,57.216768,restore,20251015,ok,117.116666666667,1.96666666666667,6.01666666666667,99.3666666666667,9.76666666666667,2,17459,27061
1143540102,10:55,655,-75.1741319574651,39.9575333855516,-75.1608290378846,39.9512565309348,off_peak,FALSE,35,14.506672,restore,20251015,ok,14.8333333333333,0.433333333333333,2.3,10.1333333333333,1.96666666666667,1,3098,6059
1143540103,11:45,705,-75.1608290378846,39.9512565309348,-75.1541388337345,39.9522458625874,off_peak,FALSE,8,7.866091,restore,20251015,ok,9.35,1.7,4,1.43333333333333,2.21666666666667,0,2455,2457
1143540105,13:20,800,-75.1528356388386,39.9549263716921,-75.1741319574651,39.9575333855516,off_peak,FALSE,30,20.54996,restore,20251015,ok,23.4166666666667,0.483333333333333,4.21666666666667,11.55,7.16666666666667,2,18442,20661
1145550101,6:15,375,-75.1516301589525,39.9168650559185,-75.1634808483634,39.9480403151119,am_peak,TRUE,45,23.088364,restore,20251015,ok,37.9,1,11.0666666666667,19.2833333333333,6.55,1,17373,22268
1147360206,18:30,1110,-75.1845576169885,39.942839888606,-75.1707168478523,39.9055458817612,pm_peak,TRUE,30,35.943303,restore,20251015,ok,38.6,1.26666666666667,8.95,24.7833333333333,3.6,3,25045,31487
1148770102,17:00,1020,-75.1595117962634,39.9367714452714,-75.1977262540913,39.9594259908695,pm_peak,TRUE,0,32.833769,restore,20251015,ok,42.4,0.433333333333333,11.55,23.25,7.16666666666667,2,24754,32178
1149340203,18:42,1122,-75.1973968654904,39.9505033966507,-75.1638872349499,39.9525548857932,pm_peak,TRUE,12,14.850566,restore,20251015,ok,11.9666666666667,1.45,0.15,8.3,2.06666666666667,0,20731,31140
1149340204,19:00,1140,-75.1638872349499,39.9525548857932,-75.1655746637264,39.9307064691021,off_peak,FALSE,8,12.638667,restore,20251015,ok,12.4833333333333,0.383333333333333,0.616666666666667,7,4.48333333333333,0,1281,1285
1150140102,6:53,413,-75.1655746637264,39.9307064691021,-75.1649773922386,39.9502186753736,am_peak,TRUE,7,11.779301,restore,20251015,ok,24.3166666666667,1.61666666666667,2.01666666666667,17.8666666666667,2.81666666666667,1,16518,32140
1150140109,17:46,1066,-75.1634808483634,39.9480403151119,-75.1655746637264,39.9307064691021,pm_peak,TRUE,9,12.628112,restore,20251015,ok,19.4833333333333,1.63333333333333,5.16666666666667,8.2,4.48333333333333,1,15187,1285
1150140205,18:13,1093,-75.1655746637264,39.9307064691021,-75.1593108938158,39.9400078893569,pm_peak,TRUE,17,11.918324,restore,20251015,ok,27.9,1.61666666666667,7.61666666666667,16.6166666666667,2.05,1,16518,16835
1150140206,21:15,1275,-75.1593108938158,39.9400078893569,-75.1655746637264,39.9307064691021,off_peak,FALSE,15,11.926381,restore,20251015,ok,36.4333333333333,2.05,21.3666666666667,11.1166666666667,1.9,1,16835,16516
1152880202,4:03,243,-75.1662120144978,39.9238115855567,-75.1638872349499,39.9525548857932,off_peak,FALSE,15,14.632857,restore,20251015,ok,51.3333333333333,0.15,20.7833333333333,28.0666666666667,2.33333333333333,2,24253,17842
1152880203,4:55,295,-75.1638872349499,39.9525548857932,-75.1847348588828,39.9565152107181,off_peak,FALSE,15,10.233063,restore,20251015,ok,16.3333333333333,1.85,6.15,4.66666666666667,3.66666666666667,0,283,20662
1152910101,7:00,420,-75.1662120144978,39.9238115855567,-75.1583275844786,39.9602029183105,am_peak,TRUE,20,23.645837,restore,20251015,ok,34.3,0.15,5.01666666666667,23.3333333333333,5.8,2,24253,32143
1152910102,8:00,480,-75.1583275844786,39.9602029183105,-75.1461838934269,39.9589037110814,am_peak,TRUE,25,13.491022,restore,20251015,ok,22.2166666666667,0.366666666666667,0.416666666666667,18.0333333333333,3.4,3,16126,17602
1152910104,16:15,975,-75.1461838934269,39.9589037110814,-75.1583275844786,39.9602029183105,pm_peak,TRUE,15,13.533333,restore,20251015,ok,21.9166666666667,1.58333333333333,1.45,16.1833333333333,2.7,1,24971,16849
1158850101,9:15,555,-75.2165947836222,39.9537421538695,-75.1489215256524,39.95458250175,am_peak,TRUE,32,25.852956,restore,20251015,ok,33.3166666666667,0.916666666666667,2,23.0666666666667,7.33333333333333,2,22122,2458
1158850102,11:17,677,-75.1489215256524,39.95458250175,-75.2165947836222,39.9537421538695,off_peak,FALSE,28,25.634873,restore,20251015,ok,32.4666666666667,3.43333333333333,3.8,22.9833333333333,2.25,2,4470,24625
1164850102,11:41,701,-75.1632627264191,39.9610182840982,-75.1869128860449,39.9502197402395,off_peak,FALSE,16,24.814879,restore,20251015,ok,25.8666666666667,2.85,3.65,9.5,9.86666666666667,1,17169,32176
1164850105,17:41,1061,-75.1941152941134,39.9546263068532,-75.1673585815214,39.9505151310837,pm_peak,TRUE,16,14.35978,restore,20251015,ok,13.45,1.51666666666667,0.183333333333333,7.2,4.55,0,20732,31140
1165490101,11:00,660,-75.1785792243999,39.9689777214525,-75.1553089348274,40.0036904586044,off_peak,FALSE,50,30.802029,restore,20251015,ok,41.3833333333333,0.6,11.2833333333333,24.3666666666667,5.13333333333333,2,4550,32151
1165490102,19:30,1170,-75.1553089348274,40.0036904586044,-75.1785792243999,39.9689777214525,off_peak,FALSE,45,32.793718,restore,20251015,ok,41.9833333333333,3.41666666666667,6.66666666666667,31.3,0.6,4,15019,4550
1165660101,7:45,465,-75.1798114670555,39.9715794694621,-75.2189686457819,40.0081594134958,am_peak,TRUE,34,38.547495,restore,20251015,ok,56.1833333333333,0.533333333333333,7.76666666666667,42.75,5.13333333333333,2,16560,6252
1165660201,9:15,555,-75.1700384657366,39.9693644720962,-75.1941152941134,39.9546263068532,am_peak,TRUE,33,24.041388,restore,20251015,ok,37.5166666666667,2.55,12.7166666666667,20.7333333333333,1.51666666666667,1,2742,287
1169120102,10:40,640,-75.1619035045634,39.9912045729609,-75.1694605873533,39.9520071435649,off_peak,FALSE,0,29.347168,restore,20251015,ok,40.2166666666667,2.58333333333333,13.9666666666667,22.4333333333333,1.23333333333333,0,2670,2666
1169120103,10:50,650,-75.1694605873533,39.9520071435649,-75.1564410395894,39.9491555327036,off_peak,FALSE,20,13.01829,restore,20251015,ok,14.6333333333333,1.4,3.8,7.63333333333333,1.8,0,6061,14908
1169120107,15:20,920,-75.1541388337345,39.9522458625874,-75.1584725274299,39.950967187359,off_peak,FALSE,8,5.804709,restore,20251015,ok,6.15,1.95,1.25,1.38333333333333,1.56666666666667,0,10341,10258
1169120109,16:03,963,-75.1584725274299,39.950967187359,-75.1648345113326,39.9541020155151,pm_peak,TRUE,9,6.159001,restore,20251015,ok,6.71666666666667,1.46666666666667,1.01666666666667,1.51666666666667,2.71666666666667,0,32173,32175
1175240102,7:30,450,-75.2092872712104,40.0181516385401,-75.1648345113326,39.9541020155151,am_peak,TRUE,25,19.639111,restore,20251015,ok,37.65,2.95,0.766666666666667,31.6833333333333,2.25,1,12319,5131
1175240107,18:10,1090,-75.1648345113326,39.9541020155151,-75.2092872712104,40.0181516385401,pm_peak,TRUE,25,20.053637,restore,20251015,ok,29.55,0.833333333333333,0.166666666666667,22,6.55,0,17842,28
2023740101,9:10,550,-75.2316719358833,39.9680910426143,-75.2458322070382,39.9787834549805,am_peak,TRUE,40,16.530207,restore,20251015,ok,29.8333333333333,1.01666666666667,6.83333333333333,18.4,3.58333333333333,2,24514,21882
2023740102,11:45,705,-75.2458322070382,39.9787834549805,-75.2316719358833,39.9680910426143,off_peak,FALSE,30,17.502539,restore,20251015,ok,19.8666666666667,0.933333333333333,6.4,11.5166666666667,1.01666666666667,1,20612,24514
2064720101,8:45,525,-75.1798114670555,39.9715794694621,-75.1634808483634,39.9480403151119,am_peak,TRUE,35,18.998175,restore,20251015,ok,27.6,0.533333333333333,7.76666666666667,17.6666666666667,1.63333333333333,0,16560,15187
2064720104,11:00,660,-75.1662257986882,39.9519342771783,-75.1541388337345,39.9522458625874,off_peak,FALSE,20,9.865521,restore,20251015,ok,12.25,1.53333333333333,2.96666666666667,5.73333333333333,2.01666666666667,0,10266,18457
2064720105,12:45,765,-75.1541388337345,39.9522458625874,-75.1798114670555,39.9715794694621,off_peak,FALSE,60,23.384621,restore,20251015,ok,31.9333333333333,1.73333333333333,2.71666666666667,25.8833333333333,1.6,3,31178,2880
2064720201,8:45,525,-75.1798114670555,39.9715794694621,-75.1630984016405,39.9735438590113,am_peak,TRUE,30,12.299124,restore,20251015,ok,20.6,1.6,0.116666666666667,15.6333333333333,3.25,1,2880,21082
2064720202,17:15,1035,-75.1630984016405,39.9735438590113,-75.1798114670555,39.9715794694621,pm_peak,TRUE,30,17.484821,restore,20251015,ok,16.6166666666667,2.98333333333333,4.86666666666667,5.01666666666667,3.75,0,21006,21014
2118520101,7:00,420,-75.0806751855718,40.016348069306,-75.1957094473416,39.9494354858208,am_peak,TRUE,,40.344785,restore,20251015,ok,53.15,1.93333333333333,14.6833333333333,32.8666666666667,3.66666666666667,2,24572,20734
2118520102,16:30,990,-75.1957094473416,39.9494354858208,-75.0806751855718,40.016348069306,pm_peak,TRUE,450,41.188615,restore,20251015,ok,42.6166666666667,3.08333333333333,0.516666666666667,34.65,4.36666666666667,1,20731,217
2297970201,8:30,510,-75.1800070313661,39.946441631749,-75.1941152941134,39.9546263068532,am_peak,TRUE,30,14.326086,restore,20251015,ok,20.4666666666667,0.616666666666667,7.33333333333333,11,1.51666666666667,1,30639,20732
2350960102,9:15,555,-75.1941152941134,39.9546263068532,-75.1977262540913,39.9594259908695,am_peak,TRUE,13,6.95,restore,20251015,ok,10.2666666666667,1.51666666666667,4.48333333333333,2.23333333333333,2.03333333333333,0,287,20663
2350960104,15:15,915,-75.216704781889,39.9569805572676,-75.2162654488479,39.9464660922369,off_peak,FALSE,25,12.204772,restore,20251015,ok,20.0833333333333,1.38333333333333,4.96666666666667,10.5333333333333,3.2,1,30194,24634
2428050101,13:00,780,-75.1335381361008,40.3211737824194,-75.1346109509137,40.3071295327499,off_peak,FALSE,30,12.21407,restore,20251015,unreachable,,,,,,,,
2435040101,8:16,496,-75.1724998481553,39.9491635804723,-75.175827602964,39.9495803344789,am_peak,TRUE,1,4.583333,restore,20251015,ok,9.46666666666667,0.85,0.3,1.76666666666667,6.55,0,14929,14956
2435040102,8:29,509,-75.175827602964,39.9495803344789,-75.216704781889,39.9569805572676,am_peak,TRUE,15,16.40586,restore,20251015,ok,18.5333333333333,2.35,0.45,10.8833333333333,4.85,2,22279,32179
2435040103,15:16,916,-75.216704781889,39.9569805572676,-75.1724998481553,39.9491635804723,off_peak,FALSE,23,23.072828,restore,20251015,ok,26.9333333333333,1.38333333333333,3.96666666666667,16.7166666666667,4.86666666666667,0,30194,14906
2526520102,14:00,840,-75.1491317030119,40.0304553583606,-75.1571977835929,40.0823045185899,off_peak,FALSE,60,34.180643,restore,20251015,ok,65.45,1.38333333333333,8.5,42.6333333333333,12.9333333333333,3,24595,16930
2526520103,15:30,930,-75.1571977835929,40.0823045185899,-75.1659426772114,39.9531940428398,off_peak,FALSE,30,51.767852,restore,20251015,ok,52.85,6.06666666666667,1.98333333333333,41.95,2.85,1,31633,1281
2526520104,17:20,1040,-75.1659426772114,39.9531940428398,-75.1525134507185,40.0198296932081,pm_peak,TRUE,45,26.076231,restore,20251015,ok,30.7333333333333,1.1,0.9,22,6.73333333333333,2,515,32153
2579920102,8:10,490,-75.2162654488479,39.9464660922369,-75.1608290378846,39.9512565309348,am_peak,TRUE,20,25.871289,restore,20251015,ok,24.35,3.01666666666667,1.51666666666667,16.4666666666667,3.35,0,20789,283
2579920105,17:45,1065,-75.1608290378846,39.9512565309348,-75.2162654488479,39.9464660922369,pm_peak,TRUE,20,23.865408,restore,20251015,ok,26.1666666666667,1.7,4,17.1666666666667,3.3,2,2455,20811
2672010201,9:30,570,-75.1669894744938,39.9484799410289,-75.1662120144978,39.9238115855567,off_peak,FALSE,27,15.590835,restore,20251015,ok,28.05,0.883333333333333,6.31666666666667,15.8,5.05,1,25084,1286
2688810102,14:55,895,-75.1941152941134,39.9546263068532,-75.150229373412,39.9517620658106,off_peak,FALSE,35,15.35,restore,20251015,ok,12.85,1.28333333333333,0.716666666666667,7.98333333333333,2.86666666666667,1,20641,2458
2688810103,17:30,1050,-75.150229373412,39.9517620658106,-75.2165947836222,39.9537421538695,pm_peak,TRUE,30,23.31013,restore,20251015,ok,34.3333333333333,1.73333333333333,7.26666666666667,15.6833333333333,9.65,1,359,32179
2774350204,10:13,613,-75.2162654488479,39.9464660922369,-75.1725391195037,39.9527196860213,off_peak,FALSE,18,21.749239,restore,20251015,ok,19.0833333333333,3.01666666666667,1.51666666666667,12.8666666666667,1.68333333333333,0,20789,20646
2920170201,8:00,480,-75.1722288078707,39.9400534674801,-75.1725391195037,39.9527196860213,am_peak,TRUE,15,12.527511,restore,20251015,ok,25.0333333333333,1.26666666666667,1.9,13.8333333333333,8.03333333333333,1,2663,2660
2966540202,8:03,483,-75.1611907875754,39.9477574019743,-75.1984494658686,39.9539400028283,am_peak,TRUE,27,19.191247,restore,20251015,ok,29.8833333333333,0.5,4.15,24.4833333333333,0.75,1,16495,22284
2966540203,17:00,1020,-75.1984494658686,39.9539400028283,-75.1584424033225,39.9474108270156,pm_peak,TRUE,35,23.412371,restore,20251015,ok,23.0166666666667,0.75,0.383333333333333,14.1333333333333,7.75,1,22284,2456
3006050101,6:30,390,-75.2399779780059,39.9210924003411,-75.202230610969,39.9458213862922,am_peak,TRUE,35,23.344439,restore,20251015,ok,25.9833333333333,0.7,3.06666666666667,15.2333333333333,6.98333333333333,0,20708,20729
3006050102,16:00,960,-75.202230610969,39.9458213862922,-75.2399779780059,39.9210924003411,pm_peak,TRUE,105,20.273254,restore,20251015,ok,41.7833333333333,6.06666666666667,1.56666666666667,33.15,1,1,21230,20757
3024870101,8:30,510,-75.2143085167584,39.9408655334325,-75.1708705877199,39.9529581159317,am_peak,TRUE,32,19.371312,restore,20251015,ok,30.6666666666667,1.6,7.88333333333333,19.9166666666667,1.26666666666667,1,317,20646
3024870102,12:00,720,-75.1708705877199,39.9529581159317,-75.2143085167584,39.9408655334325,off_peak,FALSE,150,19.096302,restore,20251015,ok,20.2333333333333,1.2,1.01666666666667,16.4166666666667,1.6,0,20660,317
3032020102,13:38,818,-75.1262221694671,39.9679483007659,-75.1752524766747,39.9659654913561,off_peak,FALSE,22,26.312437,restore,20251015,ok,34.4,2.93333333333333,6.03333333333333,21.9333333333333,3.5,0,31463,690
3032020104,14:25,865,-75.1755490875517,39.9619810599662,-75.1262221694671,39.9679483007659,off_peak,FALSE,25,28.557489,restore,20251015,ok,34.9,1.65,1.53333333333333,27.9666666666667,3.75,1,25157,686
3033290201,10:00,600,-75.1550394779574,40.0672050029827,-75.1550394779574,40.0672050029827,off_peak,FALSE,,7.625119,restore,20251015,ok,9.26666666666667,1.23333333333333,6.13333333333333,0.366666666666667,1.53333333333333,0,18172,18173
3033290202,20:00,1200,-75.1550394779574,40.0672050029827,-75.1503212753435,40.0647775996619,off_peak,FALSE,240,8.180767,restore,20251015,ok,13.7166666666667,1.7,0.216666666666667,0.583333333333333,11.2166666666667,0,3939,14900
3038950101,10:00,600,-75.3128532544384,39.99398750657,-75.3490077338315,40.0452635767863,off_peak,FALSE,75,29.984811,restore,20251015,ok,95.6,7.16666666666667,25.85,53.9833333333333,8.6,2,18897,1930
3038950102,19:00,1140,-75.3490077338315,40.0452635767863,-75.3037399105563,39.9880925237514,off_peak,FALSE,30,29.716667,restore,20251015,ok,45.2166666666667,8.65,14.35,10,12.2166666666667,0,32192,32201
