"ID","HH_ID","PERSON_NUM","PERSON_ID","HH_WEIGHT","P_WEIGHT","TOUR_NUM","WKSUB_NUM","WKSUB_ID","TRIP_NUM","TRIP_ID","RECORD_ID","NOGO","WHYNO","TOUR_TYPE","TOUR_STOPS","START_TRAV","O_LOC_TYPE","O_GEO_ACC","O_STATE","O_REGION","O_COUNTY","O_CPA","O_MCD","O_TRACT","O_TAZ","ARRIVE","ACTIV1","ACTIV2","ACTIV3","ACTIV4","ACT_DUR1","ACT_DUR2","ACT_DUR3","ACT_DUR4","DEPART","MODE","MODE_AGG","PARTY","HH_MEM","HH_PER_NUM1","HH_PER_NUM2","HH_PER_NUM3","HH_PER_NUM4","HH_PER_NUM5","HH_PER_NUM6","DRVER","VEH_NUM","USE_TOLL","TOLL_RD1","TOLL_RD2","TOLL_RD3","TOLL_RD4","TOLL_RD5","TOLL_B1","TOLL_B2","TOLL_B3","TOLL_B4","TOLL_B5","TOLL_B6","TOLL_B7","TOLL_B8","TOLL_B9","PARK_AT","PARK_TRAV","PARK_PAY","PARK_COST","PARK_UNIT","D_LOC_TYPE","D_GEO_ACC","D_STATE","D_REGION","D_COUNTY","D_CPA","D_MCD","D_TRACT","D_TAZ","TripFactor","Survey_TravTime","Model_TravTime","Model_TravDist","CompositeWeight","DEPART_HOUR","DEPART_MIN","DEPART_MIN_OF_DAY","TRAV_DOW","TRAV_DATE","HOLIDAY","HOL_TYPE","depart_lon","depart_lat","dest_lon","dest_lat","depart_point","dest_point"
1544,114354,1,11435401,264.8909442,105.5642029,1,NA,1.14354e+11,3,1.14354e+13,1143540103,NA,NA,2,NA,NA,4,1,42,1,42101,"101_103",4210160000,42101000500,72,"11:30",6,NA,NA,NA,"0:25","","","","11:45",14,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,42,1,42101,"101_103",4210160000,42101000500,88,1.17,8,7.866091,0.491512,123.5101174,11,45,705,3,"8/1/2012","",0,-75.1608290378846,39.9512565309348,-75.1541388337345,39.9522458625874,"POINT (-75.160829 39.951257)","POINT (-75.154139 39.952246)"
1546,114354,1,11435401,264.8909442,105.5642029,1,NA,1.14354e+11,5,1.14354e+13,1143540105,NA,NA,2,NA,NA,4,1,42,1,42101,"101_103",4210160000,42101000200,107,"13:10",19,NA,NA,NA,"0:10","","","","13:20",14,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,42,1,42101,"101_103",4210160000,42101000300,121,1.17,30,20.54996,1.646136,123.5101174,13,20,800,3,"8/1/2012","",0,-75.1528356388386,39.9549263716921,-75.1741319574651,39.9575333855516,"POINT (-75.152836 39.954926)","POINT (-75.174132 39.957533)"
1559,114555,1,11455501,318.6405375,100.9488062,1,NA,1.14555e+11,1,1.14555e+13,1145550101,NA,NA,3,1,2,4,1,42,1,42101,"101_112",4210160000,42101004202,808,"",1,NA,NA,NA,"3:00","","","","6:15",14,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,42,1,42101,"101_103",4210160000,42101000901,41,1.17,45,23.088364,3.476749,118.1101033,6,15,375,3,"10/10/2012","",0,-75.1516301589525,39.9168650559185,-75.1634808483634,39.9480403151119,"POINT (-75.151630 39.916865)","POINT (-75.163481 39.948040)"
1586,114736,2,11473602,143.4174285,139.0558463,2,NA,1.14736e+11,6,1.14736e+13,1147360206,NA,NA,2,1,NA,1,1,42,1,42101,"101_103",4210160000,42101001300,9,"17:00",1,14,NA,NA,"1:00","0:30","","","18:30",21,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,42,1,42101,"101_105",4210160000,42101980600,1814,1.12,30,35.943303,3.933781,155.7425479,18,30,1110,5,"8/10/2012","",0,-75.1845576169885,39.942839888606,-75.1707168478523,39.9055458817612,"POINT (-75.184558 39.942840)","POINT (-75.170717 39.905546)"
1590,114877,1,11487701,157.1925661,87.21632598,1,NA,1.14877e+11,2,1.14877e+13,1148770102,NA,NA,1,NA,NA,2,1,42,1,42101,"101_112",4210160000,42101002400,846,"9:00",5,NA,NA,NA,"8:00","","","","17:00",21,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,42,1,42101,"101_110",4210160000,42101009100,1037,1.17,0,32.833769,3.714676,102.0431014,17,0,1020,3,"8/1/2012","",0,-75.1595117962634,39.9367714452714,-75.1977262540913,39.9594259908695,"POINT (-75.159512 39.936771)","POINT (-75.197726 39.959426)"
1601,114934,2,11493402,213.7295021,113.7275455,1,NA,1.14934e+11,3,1.14934e+13,1149340203,NA,NA,1,NA,NA,4,1,42,1,42101,"101_110",4210160000,42101036900,1020,"18:37",19,NA,NA,NA,"0:05","","","","18:42",23,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,42,1,42101,"101_103",4210160000,42101000500,74,1.17,12,14.850566,1.999399,133.0612283,18,42,1122,2,"9/11/2012","",0,-75.1973968654904,39.9505033966507,-75.1638872349499,39.9525548857932,"POINT (-75.197397 39.950503)","POINT (-75.163887 39.952555)"
1602,114934,2,11493402,213.7295021,113.7275455,1,NA,1.14934e+11,4,1.14934e+13,1149340204,NA,NA,1,NA,NA,4,1,42,1,42101,"101_103",4210160000,42101000500,74,"18:54",19,NA,NA,NA,"0:06","","","","19:00",21,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,42,1,42101,"101_112",4210160000,42101002900,834,1.17,8,12.638667,1.796862,133.0612283,19,0,1140,2,"9/11/2012","",0,-75.1638872349499,39.9525548857932,-75.1655746637264,39.9307064691021,"POINT (-75.163887 39.952555)","POINT (-75.165575 39.930706)"
1614,115014,1,11501401,191.4884327,96.92038715,1,NA,1.15014e+11,2,1.15014e+13,1150140102,NA,NA,1,NA,NA,4,1,42,1,42101,"101_112",4210160000,42101002900,834,"6:50",19,NA,NA,NA,"0:03","","","","6:53",21,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,42,1,42101,"101_103",4210160000,42101000700,59,1.12,7,11.779301,1.611714,108.5508336,6,53,413,4,"9/27/2012","",0,-75.1655746637264,39.9307064691021,-75.1649773922386,39.9502186753736,"POINT (-75.165575 39.930706)","POINT (-75.164977 39.950219)"
1621,115014,1,11501401,191.4884327,96.92038715,1,NA,1.15014e+11,9,1.15014e+13,1150140109,NA,NA,1,NA,NA,4,1,42,1,42101,"101_103",4210160000,42101000901,41,"17:35",19,NA,NA,NA,"0:11","","","","17:46",21,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,42,1,42101,"101_112",4210160000,42101002900,834,1.12,9,12.628112,1.53922,108.5508336,17,46,1066,4,"9/27/2012","",0,-75.1634808483634,39.9480403151119,-75.1655746637264,39.9307064691021,"POINT (-75.163481 39.948040)","POINT (-75.165575 39.930706)"
1627,115014,2,11501402,191.4884327,100.3896759,2,NA,1.15014e+11,5,1.15014e+13,1150140205,NA,NA,2,1,NA,1,1,42,1,42101,"101_112",4210160000,42101002900,834,"13:13",1,2,7,NA,"3:30","0:30","1:00","","18:13",14,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,42,1,42101,"101_103",4210160000,42101001800,5,1.12,17,11.918324,1.022542,112.436437,18,13,1093,4,"9/27/2012","",0,-75.1655746637264,39.9307064691021,-75.1593108938158,39.9400078893569,"POINT (-75.165575 39.930706)","POINT (-75.159311 39.940008)"
