"record_id","depart_time","depart_min_of_day","depart_lon","depart_lat","dest_lon","dest_lat","peak_period","is_peak","survey_travtime","model_travtime"
1079970102,"15:40",940,-75.335420259149,40.0698383522223,-75.2626735411038,39.9640057100153,"off_peak",FALSE,NA,34.879532
1079970104,"16:40",1000,-75.1470807570054,39.9513767444736,-75.2182588102061,39.950471058218,"pm_peak",TRUE,20,26.610914
1094120102,"8:13",493,-75.7773113001476,39.9924677984963,-75.1588750233838,39.9528401835985,"am_peak",TRUE,77,90.72718
1096380201,"8:00",480,-75.2862320050127,39.9472873841357,-75.1638872349499,39.9525548857932,"am_peak",TRUE,60,36.937359
1096380202,"17:00",1020,-75.1638872349499,39.9525548857932,-75.2862320050127,39.9472873841357,"pm_peak",TRUE,60,35.700992
1109990102,"15:30",930,-75.3987233993895,39.9261429188378,-75.3283478818808,39.9804431108819,"off_peak",FALSE,19,83.86387
1111180102,"7:24",444,-75.3286199019552,40.0309191057453,-75.1834073455283,39.9599979498596,"am_peak",TRUE,21,23.235999
1111180103,"16:15",975,-75.1834073455283,39.9599979498596,-75.3335267105402,40.0257716741197,"pm_peak",TRUE,25,35.109764
1122920103,"9:24",564,-75.1176717363826,40.1313732890668,-75.2823672331362,40.2208246075088,"am_peak",TRUE,31,57.216768
1143540102,"10:55",655,-75.1741319574651,39.9575333855516,-75.1608290378846,39.9512565309348,"off_peak",FALSE,35,14.506672
1143540103,"11:45",705,-75.1608290378846,39.9512565309348,-75.1541388337345,39.9522458625874,"off_peak",FALSE,8,7.866091
1143540105,"13:20",800,-75.1528356388386,39.9549263716921,-75.1741319574651,39.9575333855516,"off_peak",FALSE,30,20.54996
1145550101,"6:15",375,-75.1516301589525,39.9168650559185,-75.1634808483634,39.9480403151119,"am_peak",TRUE,45,23.088364
1147360206,"18:30",1110,-75.1845576169885,39.942839888606,-75.1707168478523,39.9055458817612,"pm_peak",TRUE,30,35.943303
1148770102,"17:00",1020,-75.1595117962634,39.9367714452714,-75.1977262540913,39.9594259908695,"pm_peak",TRUE,0,32.833769
1149340203,"18:42",1122,-75.1973968654904,39.9505033966507,-75.1638872349499,39.9525548857932,"pm_peak",TRUE,12,14.850566
1149340204,"19:00",1140,-75.1638872349499,39.9525548857932,-75.1655746637264,39.9307064691021,"off_peak",FALSE,8,12.638667
1150140102,"6:53",413,-75.1655746637264,39.9307064691021,-75.1649773922386,39.9502186753736,"am_peak",TRUE,7,11.779301
1150140109,"17:46",1066,-75.1634808483634,39.9480403151119,-75.1655746637264,39.9307064691021,"pm_peak",TRUE,9,12.628112
1150140205,"18:13",1093,-75.1655746637264,39.9307064691021,-75.1593108938158,39.9400078893569,"pm_peak",TRUE,17,11.918324
1150140206,"21:15",1275,-75.1593108938158,39.9400078893569,-75.1655746637264,39.9307064691021,"off_peak",FALSE,15,11.926381
1152880202,"4:03",243,-75.1662120144978,39.9238115855567,-75.1638872349499,39.9525548857932,"off_peak",FALSE,15,14.632857
1152880203,"4:55",295,-75.1638872349499,39.9525548857932,-75.1847348588828,39.9565152107181,"off_peak",FALSE,15,10.233063
1152910101,"7:00",420,-75.1662120144978,39.9238115855567,-75.1583275844786,39.9602029183105,"am_peak",TRUE,20,23.645837
1152910102,"8:00",480,-75.1583275844786,39.9602029183105,-75.1461838934269,39.9589037110814,"am_peak",TRUE,25,13.491022
1152910104,"16:15",975,-75.1461838934269,39.9589037110814,-75.1583275844786,39.9602029183105,"pm_peak",TRUE,15,13.533333
1158850101,"9:15",555,-75.2165947836222,39.9537421538695,-75.1489215256524,39.95458250175,"am_peak",TRUE,32,25.852956
1158850102,"11:17",677,-75.1489215256524,39.95458250175,-75.2165947836222,39.9537421538695,"off_peak",FALSE,28,25.634873
1164850102,"11:41",701,-75.1632627264191,39.9610182840982,-75.1869128860449,39.9502197402395,"off_peak",FALSE,16,24.814879
1164850105,"17:41",1061,-75.1941152941134,39.9546263068532,-75.1673585815214,39.9505151310837,"pm_peak",TRUE,16,14.35978
1165490101,"11:00",660,-75.1785792243999,39.9689777214525,-75.1553089348274,40.0036904586044,"off_peak",FALSE,50,30.802029
1165490102,"19:30",1170,-75.1553089348274,40.0036904586044,-75.1785792243999,39.9689777214525,"off_peak",FALSE,45,32.793718
1165660101,"7:45",465,-75.1798114670555,39.9715794694621,-75.2189686457819,40.0081594134958,"am_peak",TRUE,34,38.547495
1165660201,"9:15",555,-75.1700384657366,39.9693644720962,-75.1941152941134,39.9546263068532,"am_peak",TRUE,33,24.041388
1169120102,"10:40",640,-75.1619035045634,39.9912045729609,-75.1694605873533,39.9520071435649,"off_peak",FALSE,0,29.347168
1169120103,"10:50",650,-75.1694605873533,39.9520071435649,-75.1564410395894,39.9491555327036,"off_peak",FALSE,20,13.01829
1169120107,"15:20",920,-75.1541388337345,39.9522458625874,-75.1584725274299,39.950967187359,"off_peak",FALSE,8,5.804709
1169120109,"16:03",963,-75.1584725274299,39.950967187359,-75.1648345113326,39.9541020155151,"pm_peak",TRUE,9,6.159001
1175240102,"7:30",450,-75.2092872712104,40.0181516385401,-75.1648345113326,39.9541020155151,"am_peak",TRUE,25,19.639111
