record_id,person_id,journey_id,trip_num,mode,rr_role,depart_time,depart_min_of_day,depart_lon,depart_lat,dest_lon,dest_lat,o_county,d_county,peak_period,is_peak,survey_travtime,model_travtime,scenario,service_date,tt_1_min,tt_1_offset_min,tt_2_min,tt_2_offset_min,tt_3_min,tt_3_offset_min,tt_4_min,tt_4_offset_min,tt_5_min,tt_5_offset_min,tt_6_min,tt_6_offset_min,tt_7_min,tt_7_offset_min,tt_8_min,tt_8_offset_min,n_ok,tt_mean_min,tt_sd_min
3125270202,31252702,4811,2,22,rail_leg,11:28,688,-75.112010204855,40.0551558806353,-75.1834073455283,39.9599979498596,42091,42101,off_peak,FALSE,31,46.191884,cut,20251105,80.6333333333333,-29.75,72.1333333333334,-21.25,81.6666666666667,-12.75,73.1666666666667,-4.25,64.6666666666667,4.25,80.5,12.75,72,21.25,78.75,29.75,8,75.4395833333333,5.9317810803935
3151800102,31518001,5336,2,22,rail_leg,17:30,1050,-75.2227705952579,40.1527379939727,-75.1704674139331,39.9548009865238,42091,42101,pm_peak,TRUE,45,50.672966,cut,20251105,97.85,-29.75,89.35,-21.25,80.85,-12.75,72.35,-4.25,63.85,4.25,55.35,12.75,102.35,21.25,98.35,29.75,8,82.5375,17.3965051909038
3161510201,31615102,5431,1,22,rail_leg,6:30,390,-75.1894072133033,40.0670899916203,-75.1648345113326,39.9541020155151,42101,42101,am_peak,TRUE,40,40.553938,cut,20251105,54.3666666666667,-29.75,53.8666666666667,-21.25,51.8666666666667,-12.75,43.3666666666667,-4.25,61.5833333333333,4.25,61.8666666666667,12.75,60.8666666666667,21.25,60.3666666666667,29.75,8,56.01875,6.46137140524424
3185920104,31859201,5841,4,22,rail_leg,16:35,995,-75.1625826795934,39.9513495936779,-75.1588750233838,39.9528401835985,42101,42101,pm_peak,TRUE,10,7.666667,cut,20251105,5.23333333333333,-29.75,9.28333333333333,-21.25,7.65,-12.75,8.86666666666667,-4.25,7.78333333333333,4.25,9.86666666666667,12.75,7.1,21.25,9.73333333333333,29.75,8,8.18958333333333,1.56904423187726
3212130101,32121301,6241,1,22,rail_leg,6:30,390,-75.061570967779,40.1151744640308,-75.1687160134156,39.9558364756335,42091,42101,am_peak,TRUE,45,43.381023,cut,20251105,75.5166666666667,-29.75,67.0166666666667,-21.25,58.5166666666667,-12.75,,-4.25,,4.25,93.0166666666667,12.75,84.5166666666667,21.25,76.0166666666667,29.75,6,75.7666666666667,12.2341734498085
3212130102,32121301,6242,2,22,rail_leg,16:47,1007,-75.1687160134156,39.9558364756335,-75.061570967779,40.1151744640308,42101,42091,pm_peak,TRUE,29,41.369717,cut,20251105,80.45,-29.75,72.0333333333333,-21.25,63.5333333333333,-12.75,55.0333333333333,-4.25,84.5333333333333,4.25,76.0333333333333,12.75,67.5333333333333,21.25,59.0333333333333,29.75,8,69.7729166666667,10.3696976793115
3271390101,32713901,7404,1,22,rail_leg,6:05,365,-75.1161007447157,40.1433714101826,-75.1694605873533,39.9520071435649,42091,42101,am_peak,TRUE,70,59.050805,cut,20251105,57.7333333333333,-29.75,72.25,-21.25,63.75,-12.75,55.25,-4.25,66.8833333333333,4.25,58.3833333333333,12.75,71.8833333333333,21.25,66.2333333333333,29.75,8,64.0458333333333,6.44689386264351
3271630304,32716303,7428,4,22,rail_leg,17:34,1054,-75.1648345113326,39.9541020155151,-75.3393886203709,40.0346462639254,42101,42045,pm_peak,TRUE,26,33.295487,cut,20251105,53.55,-29.75,45.05,-21.25,54.1333333333333,-12.75,45.6333333333333,-4.25,48.1333333333333,4.25,51.05,12.75,50.1333333333333,21.25,49.05,29.75,8,49.5916666666667,3.32588453445214
3282960102,32829601,7679,2,22,rail_leg,8:27,507,-75.2344133789046,40.0088074073246,-75.1648345113326,39.9541020155151,42091,42101,am_peak,TRUE,19,26.069263,cut,20251105,,-29.75,,-21.25,,-12.75,,-4.25,,4.25,,12.75,,21.25,,29.75,0,,
3282960105,32829601,7680,5,22,rail_leg,17:16,1036,-75.1677276497158,39.9525760413027,-75.1677276497158,39.9525760413027,42101,42101,pm_peak,TRUE,20,3.527778,cut,20251105,13.95,-29.75,5.45,-21.25,14.15,-12.75,8.45,-4.25,13.6333333333333,4.25,11.45,12.75,5.11666666666667,21.25,12.2666666666667,29.75,8,10.5583333333333,3.73639330379377
