record_id,depart_time,depart_min_of_day,depart_lon,depart_lat,dest_lon,dest_lat,peak_period,is_peak,survey_travtime,model_travtime,scenario,service_date,tt_1_min,tt_1_offset_min,tt_2_min,tt_2_offset_min,tt_3_min,tt_3_offset_min,tt_4_min,tt_4_offset_min,tt_5_min,tt_5_offset_min,tt_6_min,tt_6_offset_min,tt_7_min,tt_7_offset_min,tt_8_min,tt_8_offset_min,n_ok,tt_mean_min,tt_sd_min
1149340204,19:00,1140,-75.1638872349499,39.9525548857932,-75.1655746637264,39.9307064691021,off_peak,FALSE,8,12.638667,cut,20251015,17.2333333333333,-29.75,18.7333333333333,-21.25,20.2333333333333,-12.75,21.7333333333333,-4.25,13.2333333333333,4.25,14.7333333333333,12.75,16.2333333333333,21.25,17.7333333333333,29.75,8,17.4833333333333,2.7902892835178
1150140102,6:53,413,-75.1655746637264,39.9307064691021,-75.1649773922386,39.9502186753736,am_peak,TRUE,7,11.779301,cut,20251015,16.5666666666667,-29.75,20.5666666666667,-21.25,19.0666666666667,-12.75,28.5666666666667,-4.25,20.0666666666667,4.25,20.5666666666667,12.75,28.0666666666667,21.25,19.5666666666667,29.75,8,21.6291666666667,4.32135478095205
1150140109,17:46,1066,-75.1634808483634,39.9480403151119,-75.1655746637264,39.9307064691021,pm_peak,TRUE,9,12.628112,cut,20251015,19.2333333333333,-29.75,18.7333333333333,-21.25,18.2333333333333,-12.75,17.7333333333333,-4.25,17.2333333333333,4.25,16.7333333333333,12.75,16.2333333333333,21.25,15.7333333333333,29.75,8,17.4833333333333,1.22474487139159
1150140205,18:13,1093,-75.1655746637264,39.9307064691021,-75.1593108938158,39.9400078893569,pm_peak,TRUE,17,11.918324,cut,20251015,21.65,-29.75,26.35,-21.25,23.65,-12.75,15.15,-4.25,26.65,4.25,24.35,12.75,29.65,21.25,23.35,29.75,8,23.85,4.28952211790544
1150140206,21:15,1275,-75.1593108938158,39.9400078893569,-75.1655746637264,39.9307064691021,off_peak,FALSE,15,11.926381,cut,20251015,30.1833333333333,-29.75,21.6833333333333,-21.25,32.1833333333333,-12.75,23.6833333333333,-4.25,15.1833333333333,4.25,26.6833333333333,12.75,18.1833333333333,21.25,31.5166666666667,29.75,8,24.9125,6.31635411967057
1152880202,4:03,243,-75.1662120144978,39.9238115855567,-75.1638872349499,39.9525548857932,off_peak,FALSE,15,14.632857,cut,20251015,42.4,-29.75,33.9,-21.25,25.4,-12.75,65.1333333333334,-4.25,56.6333333333333,4.25,48.1333333333333,12.75,,21.25,44.0166666666667,29.75,7,45.0880952380952,13.326327028236
1152880203,4:55,295,-75.1638872349499,39.9525548857932,-75.1847348588828,39.9565152107181,off_peak,FALSE,15,10.233063,cut,20251015,23.6333333333333,-29.75,15.1333333333333,-21.25,17.6333333333333,-12.75,10.8833333333333,-4.25,12.0833333333333,4.25,14.5833333333333,12.75,14.0833333333333,21.25,18.85,29.75,8,15.8604166666667,4.08576640340274
1152910101,7:00,420,-75.1662120144978,39.9238115855567,-75.1583275844786,39.9602029183105,am_peak,TRUE,20,23.645837,cut,20251015,30.05,-29.75,28.3,-21.25,29.05,-12.75,29.55,-4.25,30.05,4.25,29.55,12.75,37.05,21.25,28.55,29.75,8,30.26875,2.81398770177026
1152910102,8:00,480,-75.1583275844786,39.9602029183105,-75.1461838934269,39.9589037110814,am_peak,TRUE,25,13.491022,cut,20251015,20.5333333333333,-29.75,24.0333333333333,-21.25,25.35,-12.75,24.8666666666667,-4.25,24.5,4.25,19.85,12.75,27.5,21.25,29,29.75,8,24.4541666666667,3.10908487020839
1152910104,16:15,975,-75.1461838934269,39.9589037110814,-75.1583275844786,39.9602029183105,pm_peak,TRUE,15,13.533333,cut,20251015,25.4666666666667,-29.75,16.9666666666667,-21.25,19.6666666666667,-12.75,28.9166666666667,-4.25,31.4666666666667,4.25,22.9666666666667,12.75,25.6666666666667,21.25,26.1333333333333,29.75,8,24.65625,4.70975800190497
